DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,IE,2020,47628,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,IT,2017,29064,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,IT,2018,29877,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,IT,2019,30511,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,IT,2020,28410,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LT,2017,22419,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LT,2018,23985,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LT,2019,25380,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LT,2020,25288,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LU,2017,56638,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LU,2018,56274,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LU,2019,52877,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LU,2020,55683,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LV,2017,19716,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LV,2018,20680,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LV,2019,21436,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,LV,2020,21076,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,MT,2017,26997,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,MT,2018,28761,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,MT,2019,29933,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,MT,2020,26347,
